id;jabatan;unsur;sub_unsur;kegiatan;bobot
18;Kepala Subbagian Hukum;Kepala Subbagian Hukum;Kepala Subbagian Hukum;pemberian infromasi terkait hukum tentang pemeriksaan, kerugian daerah;1.000
19;Kepala Subbagian Hukum;Kepala Subbagian Hukum;Kepala Subbagian Hukum;Pengelolaan JDIH BPK perwakilan;1.000
20;Kepala Subbagian Hukum;Kepala Subbagian Hukum;Kepala Subbagian Hukum;Pemberian layanan konsultasi hukum;1.000
21;Kepala Subbagian Humas TU Kalan;Kepala Subbagian Humas TU Kalan;Kepala Subbagian Humas TU Kalan;melaksanakan kegiatan di bidang kehumasan;1.000
22;Kepala Subbagian Humas TU Kalan;Kepala Subbagian Humas TU Kalan;Kepala Subbagian Humas TU Kalan;mengelola perpustakaan, kesekretariatan, keprotokolan;1.000
23;Kepala Subbagian Humas TU Kalan;Kepala Subbagian Humas TU Kalan;Kepala Subbagian Humas TU Kalan;menyiapkan informasi yang dibutuhkan oleh Kepala Perwakilan;1.000
24;Kepala Subbagian Humas TU Kalan;Kepala Subbagian Humas TU Kalan;Kepala Subbagian Humas TU Kalan;pemutakhiran data pada aplikasi SIMAK dalam rangka pengukuran IKU unit kerja;1.000
25;Kepala Subbagian Umum TI;Kepala Subbagian Umum TI;Kepala Subbagian Umum TI;pemberian layanan administrasi umum;1.000
26;Kepala Subbagian Umum TI;Kepala Subbagian Umum TI;Kepala Subbagian Umum TI;Pemberian layanan teknologi informasi;1.000
27;Kepala Subbagian Umum TI;Kepala Subbagian Umum TI;Kepala Subbagian Umum TI;Pemberian layanan kearsipan;1.000
28;Kepala Subbagian Umum TI;Kepala Subbagian Umum TI;Kepala Subbagian Umum TI;pengurusan sarana dan prasarana di lingkungan BPK Perwakilan;1.000
29;Kepala Subbagian Keuangan;Kepala Subbagian Keuangan;Kepala Subbagian Keuangan;melaksanakan kebijakan anggaran;1.000
30;Kepala Subbagian Keuangan;Kepala Subbagian Keuangan;Kepala Subbagian Keuangan;Melakukan tata kelola dokumen keuangan BPK Perwakilan;1.000
31;Kepala Subbagian Keuangan;Kepala Subbagian Keuangan;Kepala Subbagian Keuangan;Menyiapkan bahan pendukung dalam rangka penyusunan Laporan Keuangan;1.000
32;Kepala Subbagian Keuangan;Kepala Subbagian Keuangan;Kepala Subbagian Keuangan;perbendaharaan, penatausahaan, dan pertanggungjawaban keuangan;1.000
33;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Inventarisasi data dan klasifikasi arah kebijakan fiskal dan prioritas;0.050
34;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyusun rekomendasi tingkat 1 hasil analisis;0.050
35;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;ginventarisasi data, bahan, dan parameter penyusunan asumsi dasar ekonomi makro;0.030
36;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyusun rekomendasi tingkat 1 hasil pengujian parameter;0.050
37;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi data, bahan dan parameter penyusunan usulan kebijakan dan proyeksi perhitungan (exercise) RAPBN;0.050
38;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;rekomendasi tingkat 1 hasil pengujian parameter proyeksi perhitungan (exercise) RAPBN dan usulan kebijakan;0.040
39;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;rekomendasi tingkat 1 hasil pengujian parameter penyusunan postur RAPBN;0.040
40;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi data dan bahan telaahan kebijakan fiskal dan ekonomi makro;0.040
41;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi kebutuhan data, bahan, dan parameter penyusunan KEM & PPKF;0.040
42;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;rekomendasi tingkat 1 atas hasil pengujian data, bahan, dan parameter penyusunan KEM & PPKF;0.040
43;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;nventarisasi bahan dan data materi pengaturan dalam RUU APBN/APBN-P;0.040
44;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;rekomendasi tingkat 1 Laporan hasil analisis kelengkapan materi dalam pasal-pasal dan kesesuaian dengan angka dalam RAPBN/RAPBN-P;0.080
45;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi kebutuhan bahan dan data penyusunan Model Perencanaan APBN / Model Fiskal / Model Dampak APBN;0.090
46;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi kebutuhan bahan dan data penyusunan policy paper;0.120
47;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;menyiapkan policy paper di bidang asumsi makro / pendapatan negara / belanja negara / pembiayaan anggaran;0.090
48;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi kebutuhan bahan penyusunan RAPBN/RAPBN-P;0.080
49;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;analisis bahan penyusunan RAPBN/RAPBN-P;0.080
50;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi hasil-hasil kesepakatan antara Pemerintah dan DPR-RI;0.090
51;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;identifikasi dan inventarisasi data bahan reviu angka dasar dan/atau perkiraan maju;0.060
52;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;analisis angka dasar dan/atau perkiraan maju kebutuhan dasar per satker;0.070
53;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;analisis angka dasar dan/atau perkiraan maju kebutuhan dasar per program;0.060
54;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;gidentifikasi dan menginventarisasi data terkait arsitektur dan Informasi kinerja penganggaran;0.200
55;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Merancang arsitektur dan informasi kinerja penganggaran;0.070
56;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;ganalisis hasil rancangan arsitektur dan informasi kinerja penganggaran per program;0.050
57;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;identifikasi dan menginventarisasi data terkait penyusunan pagu;0.090
58;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;analisis pagu per program;0.100
59;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;identifikasi dan menginventarisasi data dan parameter Inisiatif Baru;0.070
60;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;identifikasi dan menginventarisasi data dan parameter konsolidasi dan penajaman pendanaan kegiatan prioritas nasiona;0.070
61;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;gidentifikasi dan menginventarisasi data dan parameter penyusunan rencana kerja K/L;0.040
62;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyiapkan dan mengidentifikasi bahan dan parameter rencana kerja dan anggaran;0.040
63;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyiapkan dan mengidentifikasi data dan parameter penelaahan rencana kerja dan anggaran;0.070
64;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyiapkan dan mengidentifikasi bahan dan parameter revisi anggaran;0.050
65;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyiapkan bahan monitoring dan evaluasi penganggaran;0.070
66;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Melaksanakan monitoring dan evaluasi aspek implementasi;0.080
67;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Mengumpulkan dan mentabulasi data lapangan dalam kegiatan monitoring dan evaluasi;0.050
68;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyiapkan dan mengidentifikasi data dan parameter persetujuan pendanaan pekerjaan tahun jamak;0.060
69;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyiapkan dan mengidentifikasi data dan parameter standar biaya;0.050
70;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi dan mengidentifikasi data dan parameter penghitungan sanksi/ganjaran bagi K/L;0.070
71;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Mengidentifikasi dan menginventarisasi data dan parameter indikasi kebutuhan dana pengeluaran BUN (Renstra, KPJM, hasil Monitoring dan evaluasi);0.080
72;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;inventarisasi dan mengidentifikasi data dan parameter penyusunan usul tambahan anggaran;0.060
73;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;analisis kelengkapan materi pengaturan di bidang pengelolaan belanja K/L;0.070
74;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyiapkan dan mengidentifikasi parameter dan data pendukung;0.050
75;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menginventarisasi pokok-pokok bahasan dalam pembahasan Ijin Pemanfaatan Belanja;0.070
76;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Mengolah data perumusan kebijakan sistem penganggaran;0.080
77;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Mengolah data terkait pelaksanaan Standar Biaya;0.320
78;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyusun kajian usulan Standar Biaya;0.860
79;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Mengolah data terkait pelaksanaan Monitoring dan evaluasi Kinerja Penganggaran;0.080
80;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Kompilasi data tematik penganggaran;0.060
81;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Mengolah data penerapan sistem penganggaran;0.020
82;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;gidentifikasi dan menginventarisasi data terkait usulan kebijakan/peraturan penganggaran;0.050
83;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;idenfikasi dan menginventarisasi permasalahan implementasi kebijakan/peraturan penganggaran;0.050
84;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;kaji peraturan yang mengalami kendala dan/atau permasalahan pada tataran implementasi;0.110
85;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;diseminasi laporan hasil evaluasi implementasi kebijakan/peraturan kepada stakeholders;0.250
86;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;gidentifikasi dan menginventarisasi data terkait usulan besaran hak keuangan/remunerasi;0.120
87;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Melaksanakan kajian awal terkait usulan besaran hak keuangan/remunerasi;0.060
88;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;assesment terhadap pemangku jabatan yang diusulkan besaran hak keuangan/remunerasi;0.110
89;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;pembobotan terhadap hasil assesment bersama instansi/ stakeholders terkait;0.100
90;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Melaksanakan kajian lanjutan terkait usulan besaran hak keuangan/remunerasi;0.100
91;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyusun rekomendasi besaran hak keuangan/remunerasi;0.180
92;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;gidentifikasi dan menginventarisasi data terkait usulan besaran hak keuangan/remunerasi;0.080
93;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Mengkaji dampak fiskal yang mungkin timbul dari kebijakan remunerasi;0.140
94;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyusun laporan rekomendasi terhadap kebijakan remunerasi;0.100
95;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Mengidentifikasi masalah kajian pengembangan/tematik;0.100
96;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;ginventarisasi data terkait kajian tematik dan pengembangan;0.180
97;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;analisis data terkait kajian tematik dan pengembangan;0.230
98;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyusun rekomendasi kajian tematik dan pengembangan;0.130
99;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyusun bahan diseminasi kajian tematik dan pengembangan;0.080
100;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menganalisis kebutuhan bimbingan teknis penganggaran;0.110
101;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Menyiapkan bahan bimbingan teknis penganggaran;0.120
102;Analis Anggaran;Analisis di Bidang Penganggaran dalam pengelolaan APBN;Analisis penganggaran dalam pengelolaan APBN;Melaksanakan bimbingan teknis penganggaran;0.110
103;Analis Kebijakan;Kajian dan Analisis Kebijakan;Riset dan Analisis Kebijakan;Menyediakan informasi terkait perumusan masalah kebijakan;3.000
104;Analis Kebijakan;Kajian dan Analisis Kebijakan;Riset dan Analisis Kebijakan;Merumuskan isue-isue kebijakan ke dalam rumusan masalah kebijakan;5.000
105;Analis Kebijakan;Kajian dan Analisis Kebijakan;Riset dan Analisis Kebijakan;Melaksanakan Pemantauan dan evaluasi implementasi Kebijakan;10.000
106;Analis Kebijakan;Kajian dan Analisis Kebijakan;Riset dan Analisis Kebijakan;Penyusunan Naskah Akademik;16.000
107;Analis Kebijakan;Kajian dan Analisis Kebijakan;Rekomendasi Kebijakan;Menyediakan rekomendasi kebijakan;3.000
108;Analis Kebijakan;Kajian dan Analisis Kebijakan;Rekomendasi Kebijakan;Melakukan Fokus Group Diskusi kepada pejabat publik dan pemangku;15.000
109;Analis Kebijakan;Kajian dan Analisis Kebijakan;Rekomendasi Kebijakan;Melakukan uji publik rancangan rekomendasi kebijakan;15.000
110;Analis Kebijakan;Kajian dan Analisis Kebijakan;Komunikasi, Koordinasi advokasi, konsultasi, dan negosiasi kebijakan;Melakukan kerjasama dan konsultasi dengan pejabat publik dan pemangku kepentingan;1.000
111;Analis Kebijakan;Kajian dan Analisis Kebijakan;Komunikasi, Koordinasi advokasi, konsultasi, dan negosiasi kebijakan;Menyelenggarakan konsultasi , dialog dan diskusi dengan para pemangku kepentingan untuk memperoleh tanggapan terhadap usulan rancangan kebijakan;5.000
112;Analis Kebijakan;Kajian dan Analisis Kebijakan;Komunikasi, Koordinasi advokasi, konsultasi, dan negosiasi kebijakan;Melakukan konsultasi, dialog dan diskusi dengan para pemangku kepentingan untuk memperoleh tanggapan terhadap kebijakan;1.000
113;Analis Kebijakan;Kajian dan Analisis Kebijakan;Komunikasi, Koordinasi advokasi, konsultasi, dan negosiasi kebijakan;Melakukan advokasi kebijakan;3.000
114;Analis Kebijakan;Kajian dan Analisis Kebijakan;Komunikasi, Koordinasi advokasi, konsultasi, dan negosiasi kebijakan;Melakukan diseminasi kebijakan;3.000
115;Analis Kebijakan;Kajian dan Analisis Kebijakan;Komunikasi, Koordinasi advokasi, konsultasi, dan negosiasi kebijakan;Menyampaikan gagasan kebijakan kepada pemangku kepentingan;5.000
116;Analis Kebijakan;Kajian dan Analisis Kebijakan;Publikasi hasil Kajian Kebijakan;Mempublikasi monograf;15.000
117;Analis Kebijakan;Kajian dan Analisis Kebijakan;Publikasi hasil Kajian Kebijakan;Mempublikasi buku referensi tingkat nasional;20.000
118;Analis Kebijakan;Kajian dan Analisis Kebijakan;Publikasi hasil Kajian Kebijakan;Mempublikasi buku referensi tingkat intenasional;25.000
119;Analis Kebijakan;Kajian dan Analisis Kebijakan;Publikasi hasil Kajian Kebijakan;Mempublikasi artikel jurnal ilmiah tidak terakreditasi;10.000
120;Analis Kebijakan;Kajian dan Analisis Kebijakan;Publikasi hasil Kajian Kebijakan;Mempublikasi artikel jurnal nasional terakreditasi;15.000
121;Analis Kebijakan;Kajian dan Analisis Kebijakan;Publikasi hasil Kajian Kebijakan;mempublikasi artikel dalam jurnal internasional;20.000
122;Analis Kebijakan;Kajian dan Analisis Kebijakan;Publikasi hasil Kajian Kebijakan;Menulis artikell di media massa;5.000
123;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara;Menyusun kebutuhan Aparatur Sipil Negara sesuai pedoman dan peraturan perundang-undangan;0.250
124;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara;Menganalisis proses penyusunan kebutuhan ASN;0.300
125;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara;Mengevaluasi pelaksanaan penyusunan dan/atau penetapan kebutuhan ASN;0.900
126;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara;Mengembangkan sistem/model penyusunan dan/atau penetapan kebutuhan ASN instansional/nasional;2.000
127;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara;Menyusun analisis jabatan/ analisis beban kerja/rencana redistribusi pegawai/proyeksi kebutuhan pegawai lima tahun dan peta jabatan ASN;0.400
128;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara;Mengembangkan sistem/ model analisis jabatan/ analisis beban kerja/ rencana redistribusi pegawai/proyeksi kebutuhan pegawai lima tahun dan peta jabatan ASN;2.000
129;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penyusunan dan Penetapan Kebutuhan Aparatur Sipil Negara;Mengevaluasi penerapan analisis jabatan/analisis beban kerja/rencana redistribusi pegawai/proyeksi kebutuhan pegawai lima tahun dan peta jabatan dalam praktik manajemen ASN;0.900
130;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengadaan Aparatur Sipil Negara;Menyusun rancangan pengadaan ASN sesuai pedoman dan peraturan perundang-undangan;0.450
131;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengadaan Aparatur Sipil Negara;Menganalisis proses pengadaan ASN;0.400
132;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengadaan Aparatur Sipil Negara;Mengevaluasi pelaksanaan pengadaan ASN;0.900
133;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengadaan Aparatur Sipil Negara;Mengembangkan sistem/model pengadaan ASN instansional/ nasional;2.000
134;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengadaan Aparatur Sipil Negara;Menyusun instrumen/perangkat seleksi pengadaan ASN;0.400
135;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengadaan Aparatur Sipil Negara;Menganalisis pengembangan instrumen, materi uji dan validasi kompetensi untuk seleksi ASN;1.200
136;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pangkat dan Jabatan ASN;Menyusun kerangka kerja pangkat dan jabatan ASN sesuai pedoman dan peraturan perundangundangan;0.450
137;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pangkat dan Jabatan ASN;Menganalisis proses pangkat dan jabatan ASN;0.400
138;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pangkat dan Jabatan ASN;Mengevaluasi pelaksanaan pangkat dan jabatan ASN;0.900
139;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pangkat dan Jabatan ASN;Mengembangkan sistem/model pangkat dan jabatan ASN;2.000
140;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pangkat dan Jabatan ASN;Merancang dan mengembangkan instrumen, materi dan validasi uji kompetensi pengisian jabatan ASN;0.300
141;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembanga n Karier ASN;Menyusun kerangka kerja pengembangan karier ASN sesuai pedoman dan peraturan perundang-undangan;0.450
142;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembanga n Karier ASN;Menganalisis proses pengembangan karier ASN;0.400
143;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembanga n Karier ASN;Mengevaluasi pelaksanaan pengembangan karier ASN;0.900
144;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembanga n Karier ASN;Mengembangkan sistem/model pengembangan karier ASN instansional/nasional;2.450
145;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pola Karier ASN;Menyusun pola karier ASN sesuai pedoman dan peraturan perundang-undangan;0.400
146;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pola Karier ASN;Menganalisis proses penyusunan pola karier ASN;0.900
147;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pola Karier ASN;Mengevaluasi pelaksanaan pola karier ASN;2.000
148;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pola Karier ASN;Mengembangkan sistem/model pola karier ASN instansional/nasional;0.450
149;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Promosi ASN;Menyusun kerangka kerja promosi ASN sesuai pedoman dan peraturan perundang-undangan Dokumen kerangka kerja promosi;0.300
150;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Promosi ASN;Menganalisis proses promosi ASN;0.500
151;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Promosi ASN;Mengevaluasi pelaksanaan promosi ASN;2.000
152;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Promosi ASN;Mengembangkan sistem/model promosi ASN instansional/nasional;0.450
